#,DistributionID,distID,00distID,address,lat,lon,day,proposed_day,proposed_region,site_type,required_flexible,comments,,,,,
94,1,1 SYS,0001 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Tue,Tue,central 1,plant,required,,,,,,
95,3,3 SYS,0003 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Tue,Tue,central 1,plant,required,,,,,,
96,5,5 SYS,0005 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Tue,Tue,central 1,plant,required,,,,,,
97,MIR SETTLED,MIR SETTLED,00MIR SETTLED,10710 Scripps Lake Drive,32.912,-117.09903,Tue,Tue,central 1,plant,required,,,,,,
98,81,81 SYS,0081 SYS,5540 Kiowa Drive,32.78025,-117.04656,Tue,Tue,south,plant,required,,,,,,
99,82,82 SYS,0082 SYS,5540 Kiowa Drive,32.78053,-117.04553,Tue,Tue,south,plant,required,,,,,,
100,85,85 SYS,0085 SYS,5540 Kiowa Drive,32.78053,-117.04553,Tue,Tue,south,plant,required,,,,,,
101,87,87 SYS,0087 SYS,5540 Kiowa Drive,32.78053,-117.04553,Tue,Tue,south,plant,required,,,,,,
102,88,88 SYS,0088 SYS,5540 Kiowa Drive,32.78053,-117.04553,Tue,Tue,south,plant,required,,,,,,
103,ALV SETTLED,ALV SETTLED,00ALV SETTLED,5540 Kiowa Drive,32.78053,-117.04553,Tue,Tue,south,plant,required,,,,,,
104,90,90 SYS,0090 SYS,5540 Kiowa Drive,32.78016,-117.04094,Tue,Tue,south,plant,required,,,,,,
105,91,91 SYS,0091 SYS,5540 Kiowa Drive,32.78016,-117.04094,Tue,Tue,south,plant,required,,,,,,
106,92,92 SYS,0092 SYS,1500 Wueste Road,32.60697,-116.93268,Tue,Tue,south,plant,required,,,,,,
107,95,95 SYS,0095 SYS,1500 Wueste Road,32.60697,-116.93268,Tue,Tue,south,plant,required,,,,,,
108,96 SYS_MID,97 SYS,0097 SYS,1500 Wueste Road,32.60697,-116.93268,Tue,Tue,south,plant,required,,,,,,
109,99 SYS MID,99 SYS,0099 SYS,1500 Wueste Road,32.60697,-116.93268,Tue,Tue,south,plant,required,,,,,,
110,OT SETTLED,OT SETTLED,00OT SETTLED,1500 Wueste Road,32.60697,-116.93268,Tue,Tue,south,plant,required,,,,,,
111,OT FILTER 1-8,OT FILTER 1-8,00OT FILTER 1-8,1500 Wueste Road,32.60697,-116.93268,Tue,Tue,south,plant,required,,,,,,
112,OT FILTER 9-16,OT FILTER 9-16,00OT FILTER 9-16,1500 Wueste Road,32.60697,-116.93268,Tue,Tue,south,plant,required,,,,,,
113,OT COMB FILTER,OT COMB FILTER,00OT COMB FILTER,1500 Wueste Road,32.60697,-116.93268,Tue,Tue,south,plant,required,,,,,,
114,63A,63A SYS,0063A SYS,9930 Avaiary Drive,32.90307218,-117.100989,Wed,,,,,,,,,,
115,224,224 SYS,0224 SYS,10054 Avenida Magnifica,32.90801522,-117.083614,Wed,,,,,,,,,,
116,225,225 SYS,0225 SYS,10314 Rue Chantemar,32.90512462,-117.0642145,Wed,,,,,,,,,,
117,226,226 SYS,0226 SYS,Meadowdale Lane & Walnutdale Street,32.9071331,-117.0616105,Wed,,,,,,,,,,
118,331,331 SYS,0331 SYS,11705 Semillon Blvd,32.92247222,-117.076858,Wed,,,,,,,,,,
120,307,307 SYS,0307 SYS,11455 Eastridge Place,32.92681744,-117.0565047,Wed,,,,,,,,,,
121,1006 RWSYS,1006 RWSYS,1006 RWSYS,Gregg Street & Flint Place,32.93668874,-117.0402215,Wed,,,,,,,,,,
123,328,328 SYS,0328 SYS,16909 Stonebridge Parkway,32.92929,-117.003053,Wed,,,,,,,,,,
124,329,329 SYS,0329 SYS,14644 1/2 Old Creek Road,32.92555866,-117.0262377,Wed,,,,,,,,,,
125,325,325 SYS,0325 SYS,Old Creek Road & Whispering Ridge Road,32.9245699,-117.0319646,Wed,,,,,,,,,,
126,323,323 SYS,0323 SYS,11464 Stonecroft Terrace,32.92382773,-117.0419991,Wed,,,,,,,,,,
127,283,283 SYS,0283 SYS,Scripps Ranch Blvd & Spencerport,32.9240587,-117.0999236,Wed,,,,,,,,,,
128,215,215 SYS,0215 SYS,Soledad Road & Los Altos Way,32.81104997,-117.2399736,Wed,Wed,central 2,,required,,,,,,
129,315A,315A SYS,0315A SYS,5494 Soledad Road,32.81913994,-117.2413042,Wed,Wed,central 2,,,,,,,,
130,12N,12N SYS,0012N SYS,1975 Parkview Terrace,32.81712356,-117.2388494,Wed,Wed,central 2,impound,required,,,,,,
131,12S,12S SYS,0012S SYS,1975  Parkview Terrace,32.81712356,-117.2388494,Wed,Wed,central 2,impound,required,,,,,,
132,257,257 SYS,0257 SYS,1565 Calle de Cinco,32.81905098,-117.2471137,Wed,Wed,central 2,,,,,,,,
133,251,251 SYS,0251 SYS,5840 Ravenswood,32.81840757,-117.2637558,Wed,Wed,central 2,,required,,,,,,
134,216,216 SYS,0216 SYS,5790 Chelsea Ave,32.81750851,-117.2724174,Wed,Wed,central 2,,,,,,,,
135,10,10 SYS,0010 SYS,Brodiaea Way & Encelia Drive,32.84198419,-117.2590626,Wed,Wed,central 2,impound,required,,,,,,
136,11,11 SYS,0011 SYS,7269 Encelia Drive,32.84059444,-117.2578694,Wed,Wed,central 2,impound,required,,,,,,
137,219,219 SYS,0219 SYS,8415 El Paseo Grande,32.85913904,-117.2550493,Wed,Wed,central 2,,,,,,,,
138,309,309 SYS,0309 SYS,4274 Campus Point,32.88772706,-117.2234073,Wed,Wed,central 1,,,,,,,,
139,2000 RWSYS,2000 RWSYS,2000 RWSYS,9540/9550 Towne Center Drive,32.88021473,-117.2081513,Wed,Wed,central 1,recycled,,,,,,,
140,2009 RWSYS,2009 RWSYS,2009 RWSYS,4949 East Gate Mall Drive,32.878097,-117.197788,Wed,Wed,central 1,recycled,,,,,,,
142,108,108 SYS,0108 SYS,6056 Hughs Street,32.74701736,-117.0665432,Wed,Mon,south,impound,required,,,,,,
143,269,269 SYS,0269 SYS,Windward & Statton Court,32.6935975,-117.0476476,Wed,Mon,south,impound,required,,,,,,
144,114,114 SYS,0114 SYS,2720 Howard Avenue,32.75405455,-117.1348579,Wed,Mon,south,impound,required,,,,,,
145,116,116 SYS,0116 SYS,2720 Howard Avenue,32.75405455,-117.1348579,Wed,Mon,south,impound,required,,,,,,
146,60,60 SYS,0060 SYS,3902 9th Avenue,32.74843173,-117.1563491,Wed,Mon,south,,,,,,,,
147,148,148 SYS,0148 SYS,Upas & Richmond Street,32.7411289,-117.1511808,Wed,Mon,south,,,,,,,,
148,44,44 SYS,0044 SYS,4711 Voltaire Street,32.74893524,-117.2416157,Wed,Mon,central 1,,,,,,,,
150,16A,16A SYS,0016A SYS,200 Catalina Blvd,32.70777731,-117.2494152,Wed,Mon,central 1,impound,required,,,,,,
152,206,206 SYS,0206 SYS,1055 Catalina Blvd,32.72550697,-117.2447117,Wed,Mon,central 1,,required,,,,,,
153,15A,15A SYS,015A SYS,1061 Catalina Blvd,32.72560097,-117.2446867,Wed,Mon,central 1,,,,,,,,
154,322,322 SYS,0322 SYS,2305 1/2 Historic Decatur Road,32.7341007,-117.2169687,Wed,Mon,central 1,,,,,,,,
155,338,338 SYS,0338 SYS,2817 Wasp Way,32.72829735,-117.2224296,Wed,Mon,central 1,,,,,,,,
156,332,332 SYS,0332 SYS,1277 West G. Street,32.71223865,-117.1744358,Wed,Mon,south,,,,,,,,
157,135,135 SYS,0135 SYS,1782 Newton Avenue,32.70120113,-117.1477905,Wed,Mon,south,,,,,,,,
158,1,1 SYS,0001 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Wed,Wed,central 1,plant,required,,,,,,
159,3,3 SYS,0003 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Wed,Wed,central 1,plant,required,,,,,,
160,5,5 SYS,0005 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Wed,Wed,central 1,plant,required,,,,,,
161,119,119 SYS,0119 SYS,1500 Wueste Road,32.640972,-116.934584,Wed,Wed,south,plant,required,,,,,,
162,81,81 SYS,0081 SYS,5540 Kiowa Drive,32.78025,-117.04656,Wed,Wed,south,plant,required,,,,,,
163,82,82 SYS,0082 SYS,5540 Kiowa Drive,32.78053,-117.04553,Wed,Wed,south,plant,required,,,,,,
164,85,85 SYS,0085 SYS,5540 Kiowa Drive,32.78053,-117.04553,Wed,Wed,south,plant,required,,,,,,
165,87,87 SYS,0087 SYS,5540 Kiowa Drive,32.78053,-117.04553,Wed,Wed,south,plant,required,,,,,,
166,88,88 SYS,0088 SYS,5540 Kiowa Drive,32.78053,-117.04553,Wed,Wed,south,plant,required,,,,,,
167,90,90 SYS,0090 SYS,5540 Kiowa Drive,32.78016,-117.04094,Wed,Wed,south,plant,required,,,,,,
168,91,91 SYS,0091 SYS,5540 Kiowa Drive,32.78016,-117.04094,Wed,Wed,south,plant,required,,,,,,
169,92,92 SYS,0092 SYS,1500 Wueste Road,32.60697,-116.93268,Wed,Wed,south,plant,required,,,,,,
170,95,95 SYS,0095 SYS,1500 Wueste Road,32.60697,-116.93268,Wed,Wed,south,plant,required,,,,,,
172,99 SYS MID,99 SYS,0099 SYS,1500 Wueste Road,32.60697,-116.93268,Wed,Wed,south,plant,required,,,,,,
173,1004 RWSYS,1004 RWSYS,1004 RWSYS,10200 Meanley Drive,32.90900259,-117.1066677,Thu,,,recycled,,,,,,,0
174,343,343 SYS,0343 SYS,Flanders Drive & Flanders Point,32.90967294,-117.1776066,Thu,Thu,central 1,,,,,,,,
176,294,294 SYS,0294 SYS,12195 Branicole Lane,32.94005343,-117.1159502,Thu,,,,,,,,,,
177,185,185 SYS,0185 SYS,11198 Ivy Hill Drive,32.9358381,-117.0891402,Thu,,,,,,,,,,
178,1000 RWSYS,1000 RWSYS,1000 RWSYS,Angelique & Scripps Poway Parkway,32.93449942,-117.0729516,Thu,,,recycled,,,,,,,
179,184,184 SYS,0184 SYS,12170 Springhurst Drive,32.93982329,-117.0740784,Thu,,,,required,,,,,,
180,320,320 SYS,0320 SYS,12501 La Tortola,32.9453887,-117.1159966,Thu,,,,,,,,,,
181,231,231 SYS,0231 SYS,Fairgrove Lane & Salmon River Road,32.95780921,-117.1214689,Thu,,,,,,,,,,
182,288,288 SYS,0288 SYS,Greenberg Way & Ganso Corte,32.9690026,-117.1367253,Thu,,,,,,,,,,
183,68,68 SYS,0068 SYS,Oviedo Street and Black Mountain Road,32.9684022,-117.1291971,Thu,,,,,,,,,,
185,317,317 SYS,0317 SYS,12608 Spindletop Road,32.95104717,-117.136528,Thu,,,,,,,,,,
186,277A,277A SYS,0277A SYS,12241 Camino del Sur,32.94195505,-117.1514531,Thu,,,,required,,,,,,
187,177,177 SYS,0177 SYS,12350 Black Mountain Road,32.94050402,-117.1290755,Thu,,,,,,,,,,
188,151A,151A SYS,0151A SYS,4929 Catoctin Drive,32.76761865,-117.060825,Thu,Thu,central 2,,,,,,,,
190,66,66 SYS,0066 SYS,Via Cortina & Via Aprilia,32.93433566,-117.2526659,Thu,Thu,central 1,,,,,,,,
191,245,245 SYS,0245 SYS,12935 Via Latina,32.93477955,-117.247779,Thu,Thu,central 1,,,,,,,,
192,244,244 SYS,0244 SYS,13051 Portofino Drive,32.93705182,-117.243253,Thu,Thu,central 1,,,,,,,,
193,278,278 SYS,0278 SYS,3750 Torrey View Court,32.92183242,-117.2323364,Thu,Thu,central 1,,,,,,,,
194,222A,222A SYS,0222A SYS,3550 Dunhill Street,32.90353598,-117.2295003,Thu,Thu,central 1,,,,,,,,
195,250,250 SYS,0250 SYS,7474 Charmant Drive,32.86582325,-117.2287174,Thu,Thu,central 1,,,,,,,,
196,2001 RWSYS,2001 RWSYS,2001 RWSYS,7474 Charmant Drive,32.86582325,-117.2287174,Thu,Thu,central 1,recycled,,,,,,,
197,248A,248A SYS,0248A SYS,2395 Beryl Street,32.80847488,-117.228056,Thu,Thu,central 2,,,,,,,,
198,252A,252A SYS,0252A SYS,5532 Pacifica Drive,32.82020798,-117.2333265,Thu,Thu,central 2,,,,,,,,
