,FAC_NAME,site_match,FAC_SEQ_NUM,FAC_TYP_CD,FACTYPDESC,INFRASTRUC,PRESSR_ZN_NM,PRESSR_ZN_QTY,SIZE_NUM,SMPL_TYP_CD,FEED_SRC_NM,MAPNG_STAT_CD,FNCTNL_CD,OWNERSHIP_CD,OWNERSHIP_CD_DESC,STRT_ADDR_TYP_CD,DIV_MAINT_BY_CD,DIV_DESC,INTERCEPTOR_IND,STA_PRIM_NUM,STA_SCNDRY_NUM,ACTL_INST_DT_IND,INST_DT,LOCN_DESC_TXT,OLD_SPLASH1_DWO_ID,OLD_SPLASH1_WORK_ORDR_ID,GPS_SURVEYOR_IND,GPS_X_COORD_NUM,GPS_Y_COORD_NUM,FAC_STAT_CD,MAP_ID,FLD_BK_PAGE_NUM,FLD_BK_GRID_NUM,THOMAS_BROTHERS_CD,STRT_NUM,STRT_PREDIR_CD,STRT_NM,STRT_SFX_CD,STRT_UNIT_NUM,STRT_GATED_COMNTY_IND,NAD83E_NUM,NAD83N_NUM,NAD27E_NUM,NAD27N_NUM,OLD_FAC_SEQ_NUM,SENSITIVE_LAND_IND,GEOMETRY_ORIENTATION,DRAWG_NUM,DRAWG_SHEET_NUM,DRAWG_TYP_CD,DRAWG_TYP_CD_DESC,IAMFLOC,SAPOBJNR
203,63 SYS,NA,534224,SLOC,SAMPLE LOCATION,W,SCRIPPS VALLEY,850,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,RED ROCK DR/WALDGROVE PL; SAMPLE STANCHION,NA,NA,N,0,0,A,281,J05S,2,1209H5,0,,,,,NA,6301546.909,1909665.984,1740162.697,269221.9843,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S099,IF?0100000000000142288
205,220 SYS,NA,515715,SLOC,SAMPLE LOCATION,W,SO LA JOLLA CLIFFS,447,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,DOWNWIND WAY/EXPEDITION WAY; SAMPLE STANCHION,NA,NA,N,0,0,A,201,B08S,3,1227H3,0,,,,,NA,6254674.767,1896627.687,1693290.32,256183.687,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S053,IF?0100000000000141710
206,314 SYS,NA,5525496,SLOC,SAMPLE LOCATION,W,SO LA JOLLA CLIFFS,447,0,DP,NA,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,N,,8555 RUETTE MONTE CARLO,1,NA,N,0,0,A,303,B08S,6,1227H4,0,,,,,NA,6254602.503,1894902.602,1693218.056,254458.6017,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S288,IF?0100000000000140865
209,S119,NA,5207498,SLOC,SAMPLE LOCATION,W,SO SAN DIEGO RESV,490,0.5,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,LOWER OTAY RESV RECREATION STATION HOSE BIB UNDER WATER FOUNTAIN AT SNACK BAR OUTSIDE BATHROOM,NA,NA,N,0,0,A,1,R31S,3,1332A2,0,,,,,NA,6351207.178,1804481.142,1789823.215,164037.1417,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S190,IF?0100000000000141641
212,93 SYS,NA,5207902,SLOC,SAMPLE LOCATION,W,SO SAN DIEGO RESV,490,0.5,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,23,OTAY PLANT/RESERVOIRS -23,N,0,0,N,,CWA EFFLUENT AT FILTRATION PLANT,NA,NA,N,0,0,A,447,R32S,3,1332A3,0,,,,,NA,6351463.461,1801559.216,1790079.499,161115.2159,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S198,IF?0100000000000141882
216,217 SYS,NA,516093,SLOC,SAMPLE LOCATION,W,SOLEDAD MUIRLANDS,725,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,6550 SOLEDAD MOUNTAIN RD SAMPLE STANCHION,NA,NA,N,0,0,A,502,B11S,3,1247J1,6550,,SOLEDAD MTN,RD,,NA,6255494.396,1884895.922,1694109.954,244451.9219,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S057,IF?0100000000000141864
217,C11,NA,5062523,SLOC,SAMPLE LOCATION,W,SOLEDAD MUIRLANDS,725,0.75,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,Y,?6?/?10?/?85? ?5?:?00? ?PM,"E OF 7247 ENCELIA DR, SOUTH OF RESV AT PUMPSTATION",NA,NA,N,0,0,A,583,B10S,4,1227H7,7247,,ENCELIA,DR,,NA,6252153.015,1887374.813,1690768.556,246930.813,NA,N,0,21043,5,D,NA,UW-WS-TRN-SLOC-S044,IF?0100000000000141906
218,12N SYS_MID,NA,5207092,SLOC,SAMPLE LOCATION,W,SOLEDAD MUIRLANDS,725,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,1975 PARKVIEW TERRACE,NA,NA,N,0,0,A,470,C12S,4,1248A3,1975,,PARKVIEW,TR,,NA,6257916.732,1878962.283,1696532.302,238518.2835,NA,N,2.73,NA,NA,,NA,UW-WS-TRN-SLOC-S175,IF?0100000000000142108
220,12S SYS_MID,NA,5486933,SLOC,SAMPLE LOCATION,W,SOLEDAD MUIRLANDS,725,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,1975 PARKVIEW TERRACE,NA,NA,N,0,0,A,621,C12S,4,1248A3,1975,,PARKVIEW,TR,,NA,6257945.453,1878846.132,1696561.022,238402.1319,NA,N,4,NA,NA,,NA,UW-WS-TRN-SLOC-S255,IF?0100000000000141129
221,315 SYS,NA,5525497,SLOC,SAMPLE LOCATION,W,SOLEDAD MUIRLANDS,725,0,DP,NA,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,N,,1975 PARKVIEW TERRACE,NA,NA,N,0,0,A,622,C12S,4,1248A3,0,,,,,NA,6257687.976,1879041.647,1696303.544,238597.647,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S289,IF?0100000000000140574
